EntrezA	EntrezB
5111	5425
5111	10856
5111	6118
5111	990
5111	5982
5111	5983
5111	5985
5111	4170
5111	324
5111	1017
5111	890
5111	5430
5111	5970
5111	2956
5111	5395
5111	1387
5111	896
5111	595
5111	1956
5111	57804
5111	5501
5111	10714
5111	1021
5111	2237
5111	4437
5111	5429
5111	10912
5111	56852
5111	675
5111	25
5111	7157
5111	7189
5111	3065
5111	81620
5111	7341
5111	10951
5111	4738
5111	3364
5111	51455
5111	9134
5111	8065
5111	7167
5111	8453
5111	55611
5111	6117
5111	84033
5111	10014
5111	10036
5111	63922
5111	8452
5111	1019
5111	5984
5111	9588
5111	5883
5111	891
5111	55140
5111	4193
5111	5071
5111	6596
5111	84557
5111	226
5111	27301
5111	10572
5111	5885
5111	81631
5111	5981
5111	5230
5111	5426
5111	150274
5111	2597
5111	5478
5111	10524
5111	4904
5111	10289
5111	4292
5111	4191
5111	3921
5111	1647
5111	4436
5111	2033
5111	7515
5111	7486
5111	8411
5111	6119
5111	7374
5111	5591
5111	1111
5111	5423
5111	2178
5111	2175
5111	6996
5111	10923
5111	1642
5111	10537
5111	2177
5111	1660
5111	10293
5111	302
5111	114609
5111	4616
5111	63967
5111	9641
5111	8451
5111	79980
5111	898
5111	55367
5111	326
5111	142
5111	9156
5111	1029
5111	1020
5111	2073
5111	11201
5111	3107
5111	4163
5111	8450
5111	1026
5111	29128
5111	9025
5111	2335
5111	7520
5111	2547
5111	760
5111	1028
5111	10309
5111	26073
5111	4595
5111	1871
5111	3621
5111	115426
5111	8574
5111	1386
5111	2074
5111	26013
5111	1786
5111	8208
5111	3622
5111	3106
5111	2309
5111	387893
5111	55929
5111	10075
5111	4152
5111	8242
5111	7468
5111	7150
5111	5757
5111	27343
5111	995
5111	9869
5111	9158
5111	23047
5111	5932
5111	2023
5111	253980
5111	6347
5111	9436
5111	7398
5111	4311
5111	9722
5111	51514
5111	2035
5111	56254
5111	10514
5111	22909
5111	7126
5111	1915
5111	10935
5111	6419
5111	8848
5111	24140
5111	83932
5111	55120
5111	23191
5111	1791
5111	328
5111	51426
5111	288
5111	11156
5111	8914
5111	146059
5111	353497
5111	225689
5111	3855
5111	5223
5111	126961
5111	333932
5111	653604
5111	9937
5111	79915
5111	6259
5111	56916
5111	7023
5111	6674
5111	5424
5111	4255
5111	2800
5111	84875
5111	3978
5111	1663
5111	100101267
5111	57648
5111	9768
5111	83892
5111	84083
5111	64432
5111	54887
5111	11285
5111	641371
5111	10999
5111	79767
5111	10144
5594	4609
5594	3725
5594	6464
5594	5499
5594	1848
5594	10980
5594	6774
5594	5894
5594	595
5594	4851
5594	3727
5594	4214
5594	6197
5594	857
5594	5501
5594	5595
5594	2002
5594	5605
5594	5801
5594	7157
5594	9846
5594	5515
5594	367
5594	10015
5594	9759
5594	81620
5594	842
5594	2932
5594	1432
5594	2353
5594	5914
5594	841
5594	708
5594	3643
5594	55611
5594	6196
5594	2872
5594	1051
5594	5635
5594	8202
5594	8569
5594	2626
5594	5829
5594	55740
5594	1457
5594	29763
5594	4086
5594	2950
5594	7409
5594	6776
5594	2908
5594	596
5594	5071
5594	4067
5594	4088
5594	1846
5594	4751
5594	3398
5594	8844
5594	2597
5594	3932
5594	4171
5594	4916
5594	409
5594	6667
5594	6256
5594	2033
5594	10253
5594	10318
5594	5468
5594	7132
5594	6421
5594	1843
5594	80824
5594	672
5594	2099
5594	8826
5594	27342
5594	10140
5594	9261
5594	79155
5594	4215
5594	23513
5594	5241
5594	57521
5594	1978
5594	6720
5594	5037
5594	6622
5594	5371
5594	23224
5594	8682
5594	8986
5594	5979
5594	2969
5594	2274
5594	6721
5594	51366
5594	1612
5594	6868
5594	6195
5594	6623
5594	7175
5594	8550
5594	5795
5594	2113
5594	1386
5594	55578
5594	3297
5594	7249
5594	408
5594	5581
5594	3106
5594	80351
5594	2309
5594	3735
5594	9149
5594	1845
5594	5791
5594	9181
5594	4261
5594	995
5594	56940
5594	6198
5594	5175
5594	7412
5594	5604
5594	1062
5594	10013
5594	3856
5594	283455
5594	8462
5594	1849
5594	5787
5594	112399
5594	1852
5594	1401
5594	5321
5594	23043
5594	185
5594	84867
5594	5315
5594	10174
5594	1509
5594	85358
5594	476
5594	7538
5594	238
5594	10817
5594	136319
5594	1630
5594	64333
5594	6300
5594	8870
5594	7054
5594	3299
5594	3146
5594	84292
5594	1844
5594	3161
5594	2697
5594	79158
5594	6259
5594	22858
5594	644
5594	5527
5594	89796
5594	5778
5594	1847
5594	4155
5594	9857
5594	3430
5594	9768
5594	440574
5594	219402
5770	9564
5770	2885
5770	1499
5770	1459
5770	6774
5770	1398
5770	1956
5770	857
5770	27040
5770	613
5770	25
5770	6714
5770	9051
5770	5747
5770	7341
5770	824
5770	10254
5770	2932
5770	3643
