Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
AAAS		ENSG00000094914	Aladin WD repeat nucleoporin	12	53307456-53324864	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA040086	Approved		Approved	Nuclear membrane<br>Centrosome<br>Cytosol	Renal cancer:2.93e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 46.2	Expressed in all		
AARS	AlaRS, CMT2N	ENSG00000090861	Alanyl-tRNA synthetase	16	70252295-70289543	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB034261, HPA040870, HPA044223	Supported		Enhanced	Cytosol		Expressed in all	Expressed in all			parathyroid gland: 178.0	Expressed in all		
AARS2	AARSL, bA444E17.1, KIAA1270	ENSG00000124608	Alanyl-tRNA synthetase 2, mitochondrial	6	44299654-44313326	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA035636, HPA061396	Approved		Enhanced	Mitochondria		Expressed in all	Mixed			parathyroid gland: 11.4	Expressed in all		
AASS	LKRSDH, LORSDH	ENSG00000008311	Aminoadipate-semialdehyde synthase	7	122075647-122144280	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA020637, HPA020728, HPA020734	Enhanced		Enhanced	Vesicles<br>Mitochondria	Liver cancer:9.81e-4 (favourable)	Expressed in all	Mixed			ovary: 30.7	Cell line enhanced		AN3-CA: 49.4;NTERA-2: 51.8
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	ATP binding cassette subfamily A member 12	2	214931542-215138428	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA078239			Approved	Nucleoli<br>Vesicles<br>Plasma membrane<br>Cytosol		Mixed	Group enriched	6	breast: 7.7;skin: 25.2	tonsil: 2.5	Group enriched	6	hTCEpi: 28.4;SK-BR-3: 13.8;T-47d: 9.1
ABCA3	ABC-C, ABC3, EST111653, LBM180	ENSG00000167972	ATP binding cassette subfamily A member 3	16	2275881-2340746	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007884	Enhanced		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Tissue enhanced		lung: 135.5	cerebral cortex: 51.5	Cell line enhanced		SCLC-21H: 53.9;T-47d: 71.7
ABCA4	ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1	ENSG00000198691	ATP binding cassette subfamily A member 4	1	93992835-94121132	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Lung cancer:2.45e-4 (favourable), Urothelial cancer:2.72e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		epididymis: 9.9	kidney: 4.2	Cell line enhanced		BEWO: 2.8;EFO-21: 6.2;SK-BR-3: 1.9
ABCA7	ABCX	ENSG00000064687	ATP binding cassette subfamily A member 7	19	1040101-1065572	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041564	Enhanced		Supported	Golgi apparatus<br>Plasma membrane<br>Cell Junctions	Endometrial cancer:1.12e-4 (favourable), Colorectal cancer:7.26e-4 (unfavourable)	Expressed in all	Mixed			spleen: 25.3	Cell line enhanced		HMC-1: 52.2
ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1	ENSG00000085563	ATP binding cassette subfamily B member 1	7	87503633-87713323	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB001716, HPA002199	Enhanced		Approved	Nucleoplasm<br>Focal adhesion sites<br>Cytosol	Renal cancer:2.95e-4 (favourable), Pancreatic cancer:3.33e-4 (favourable)	Tissue enhanced	Tissue enhanced		adrenal gland: 137.8;small intestine: 82.4	kidney: 37.3	Cell line enhanced		CACO-2: 56.6;HEL: 34.4;SH-SY5Y: 85.9
ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	ATP binding cassette subfamily B member 11	2	168922938-169031322	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA019035	Enhanced		Uncertain	Nucleoplasm<br>Plasma membrane<br>Cytosol		Tissue enriched	Tissue enriched	13	liver: 19.1	testis: 1.4	Not detected		
